"","Course","Course_overview","Unit","Overview","Prerequisite","Corequisite","Prohibition","Outcomes","Unit_type","Unit_code","Course_code"
"1","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Methods of Mathematical Statistics","This subject introduces probability and the theory underlying modern statistical inference. Properties of probability are reviewed, univariate and multivariate random variables are introduced, and their properties are developed. It demonstrates that many commonly used statistical procedures arise as applications of a common theory. Both classical and Bayesian statistical methods are developed. Basic statistical concepts including maximum likelihood, sufficiency, unbiased estimation, confidence intervals, hypothesis testing and significance levels are discussed. Computer packages are used for numerical and theoretical calculations.","Calculus 2, Calculus 2: Advanced, Linear Algebra, Linear Algebra: Advanced, Data Analysis 1, Experimental Design and Data Analysis","None","Probability, Statistics, Probability for Statistics","Develop a systematic understanding of probability, random variables, probability distributions and probability models, and their relevance to statistical inference;Be able to formulate standard probability models from real world applications and critically assess them;Be able to apply the properties of probability distributions, moment generating functions, variable transformations and conditional expectations to analyse common random variables and probability models;Be able to use a computer package to perform algebraic and computational tasks in probability analyses.Be familiar with the basic ideas of estimation and hypothesis testingBe able to carry out many standard statistical procedures using a statistical computing package.Develop the ability to fit probability models to data by both estimating and testing hypotheses about model parameters.","Units by Background","MAST90105","MC-DATASC"
"2","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","A First Course In Statistical Learning","Supervised statistical learning is based on the widely used linear models that model a response as a linear combination of explanatory variables. Initially this subject develops an elegant unified theory for a quantitative response that includes the estimation of model parameters, hypothesis testing using analysis of variance, model selection, diagnostics on model assumptions, and prediction. Some classification methods for qualitative responses are then developed. This subject then considers computational techniques, including the EM algorithm. Bayes methods and Monte-Carlo methods are considered. The subject concludes by considering some unsupervised learning techniques.","Methods of Mathematical Statistics","None","Linear Statistical Models, Modern Applied Statistics","Understand the underlying statistical theory of linear models and the limitations of such models.Fit linear models to data using a standard statistical computing package and interpret the results.Be able to predict (or classify) qualitative responses.Understand the underlying theory of Bayesian statistics.Understand the underlying theory and be able to apply the EM algorithm in simple settings.Be able to use a computer package to perform statistical computing and data analysis","Units by Background","MAST90104","MC-DATASC"
"3","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Programming and Software Development","The aims for this subject is for students to develop an understanding of approaches to solving moderately complex problems with computers, and to be able to demonstrate proficiency in designing and writing programs. The programming language used is Java.","Foundations of Computing, Foundations of Algorithms, Intro. to Numerical Computation in C, Introduction to Programming","None","Object Oriented Software Development","Apply the concepts of object-oriented design to the solution of computational problemsRead and understand a Java program of small to medium complexityWrite a Java program of small to medium complexity, which contains a number of classes with console user interfaceBe able to apply a range of data structures and algorithms in problem solvingUnderstand the process and methods of software design and implementation using Java programming language","Units by Background","COMP90041","MC-DATASC"
"4","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Algorithms and Complexity","The aim of this subject is for students to develop familiarity and competence in assessing and designing computer programs for computational efficiency. Although computers manipulate data very quickly, to solve large-scale problems, we must design strategies so that the calculations combine effectively. Over the latter half of the 20th century, an elegant theory of computational efficiency developed. This subject introduces students to the fundamentals of this theory and to many of the classical algorithms and data structures that solve key computational questions. These questions include distance computations in networks, searching items in large collections, and sorting them in order.","Introduction to Programming","None","Algorithms and Data Structures, Design of Algorithms","Design, manipulate and reason about a variety of techniques for solving sorting, searching and graph problemsWrite efficient algorithms and data structures for a variety of fundamental problemsConduct formal reasoning about problem complexity and algorithmic efficiencyRecognize the design techniques of standard algorithms, and apply these techniques to develop new computational solutions to problems","Units by Background","COMP90038","MC-DATASC"
"5","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Elements of Data Processing","Data processing is fundamental to computing and data science. This subject gives an introduction to various aspects of data processing including database management, representation and analysis of data, information retrieval, visualisation and reporting, and cloud computing. This subject introduces students to the area, with an emphasis on both tools and underlying foundations.","Foundations of Computing, Media Computation, Introduction to Programming","None","Foundations of Informatics","ILO 1 - Be able to describe the relationship of the data pipeline to data scienceILO 2 - Be able to develop and critically evaluate alternative approaches to components of typical data pipelinesILO 3 - Apply data processing methodologies to preparing data while managing data quality, system scalability, and usability for decision makingILO 4 - Communicate effectively about data processing methodologies in oral form","Units by Background","COMP20008","MC-DATASC"
"6","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Database Systems & Information Modelling","The subject introduces key topics in modern information organisation, particularly with regard to structured databases. The well-founded relational theory behind modern structured query language (SQL) engines, has given them as much a place behind the web site of an organisation and on the desktop, as they traditionally enjoyed on corporate mainframes. Topics covered may include: the managerial view of data, information and knowledge; conceptual, logical and physical data modelling; normalisation and de-normalisation; the SQL language; data integrity; transaction processing, data warehousing, web services and organisational memory technologies. This is a core foundation subject for both the Master of Information Systems and Master of Information Technology.","None","None","Database Systems","Understand the different technologies available to manage structured data, and the evolutionary process that led to themBe able to construct data models at the conceptual, logical and physical level from real-world, natural language requirements documents and apply data normalisation to these modelsBe able to competently use a CASE tool (computer-aided software engineering)Be competent in basic SQL and familiar with the usage of advanced SQL commandsUnderstand the need and mechanism for database transactions, including the so-called ACID propertiesBe familiar with how databases work within a larger application architectureUnderstand the relationship of database systems to a variety of fields such as data warehousing, health informatics and Geospatial applicationsSynthesize the theoretical first principles of data management, data normalisation and data modelling and apply those principles to the data needs of modern organizations.","Units by Background","INFO90002","MC-DATASC"
"7","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Statistical Modelling for Data Science","Statistical models are central to data science applications. Modelling approaches such as linear and generalized linear models, mixed models, and non-parametric regression are developed. Applications to time series, longitudinal, and spatial data are discussed. Methods for causal inference and handling missing data are introduced.","A First Course In Statistical Learning, Methods of Mathematical Statistics, Modern Applied Statistics","None","Statistical Modelling","Understand the underlying statistical modelling framework and the limitations of such models.Develop statistical models for data coming from diverse settings.Appropriately handle data related issues such as missing and incomplete data in a rigorous and justifiable manner.Understand how to model dependencies in data such as those that occur in time and spatial domains.Pursue further studies in this and related areas, or to be work ready as an applied statistician or a data scientist.","Core","MAST90139","MC-DATASC"
"8","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Multivariate Statistics for Data Science","Modern statistics and data science deals with data having multiple dimensions. Multivariate methods are used to handle these types of data. Approaches to supervised and unsupervised learning with multivariate data are discussed. In particular, methods for classification, clustering, and dimension reduction are introduced, which are particularly suited to high-dimensional data. Both parametric and nonparametric approaches are discussed.","Linear Statistical Models, A First Course In Statistical Learning","None","None","Understand the structure of multivariate data, particularly high-dimensional data.Select, implement, and justify appropriate methods to perform classification, clustering, and dimension reduction.Understand the statistical underpinnings of the methods used in multivariate data and be able to check when assumptions may or may not hold.Pursue further studies in this and related areas, or to be work ready as an applied statistician or a data scientist.","Core","MAST90138","MC-DATASC"
"9","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Computational Statistics & Data Science","Computing techniques and data mining methods are indispensable in modern statistical research and data science applications, where “Big Data” problems are often involved. This subject will introduce a number of recently developed methods and applications in computational statistics and data science that are scalable to large datasets and high-performance computing. The data mining methods to be introduced include general model diagnostic and assessment techniques, kernel and local polynomial nonparametric regression, basis expansion and nonparametric spline regression, generalised additive models, classification and regression trees, forward stagewise and gradient boosting models. Important statistical computing algorithms and techniques used in data science will be explained in detail. These include the bootstrap resampling and inference, cross-validation, the EM algorithm and Louis method, and Markov chain Monte Carlo methods including adaptive rejection and squeeze sampling, sequential importance sampling, slice sampling, Gibbs sampler and Metropolis-Hastings algorithm.","Linear Statistical Models, Modern Applied Statistics, A First Course In Statistical Learning","None","None","Explain the role of theory and computing in modern statistics and data science, and how they are implemented in applications;Apply nonparametric and Monte Carlo methods in statistics and data science; andDevelop key knowledge to pursue further studies in this discipline and related areas, or to be work ready as an applied statistician or a data scientist.","Core","MAST90083","MC-DATASC"
"10","Master of Data Science","The management and analysis of big data are becoming increasingly important in commerce, industry and applied science. Data Science is a rapidly growing field that has evolved to address this need and sits at the intersection of statistics and computer science. Data science practitioners are accomplished in both areas and in order to keep pace with this changing field they need a sound background in both statistics and computer science. The Master of Data Science is a professional entry program that combines these disciplines in a single coordinated program. It aims to prepare students for a career in data analytics, equipping them with the technological abilities and analytical skills needed to manage and gain insights from large and complex collections of data. The program emphasises the use of statistical tools, techniques and methods along with in- depth analysis and evaluation, to solve real-world problems in the data realm.","Cluster and Cloud Computing","The growing popularity of the Internet along with the availability of powerful computers and high-speed networks as low-cost commodity components are changing the way we do parallel and distributed computing (PDC). Cluster and Cloud Computing are two approaches for PDC. Clusters employ cost-effective commodity components for building powerful computers within local-area networks. Recently, “cloud computing” has emerged as the new paradigm for delivery of computing as services in a pay-as-you-go-model via the Internet. These approaches are used to tackle may research problems with particular focus on ""big data"" challenges that arise across a variety of domains.","Internet Technologies, Algorithms and Complexity, Programming and Software Development","None","None","Be able to understand emerging distributed technologiesBe able to design large-scale distributed systemsBe able to implement high-performance cluster and cloud applications","Core","COMP90024","MC-DATASC"
