"","Course","Course_code","Course_overview","Unit","Overview","Prerequisite","Corequisite","Prohibition","Outcomes","Unit_type","Unit_code"
"1","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Computational Thinking with Python ","Computers are everywhere and in nearly everything - the watch you wear, the phone you use, the car you drive, the games you play and, increasingly, in your home. CITS140 I is the first step along your path to being able to use computers to solve problems. Because computers cannot yet work using human languages, computer languages have been devised to allow algorithms encoding solutions to problems to be executed on computers. In this unit you will learn about, and use, the very popular language Python 3. Along the way you will also learn some problem solving techniques and how to create algorithms; you will also learn how computers execute your programs","Mathematics Applications ATAR   or      MATH1720 Mathematics Fundamentals          or equivalent","Nil","CITS2401 Computer Analysis and Visualisation","Students are able to (1) create algorithms using computational thinking to solve a range of problems; (2) write programs using Python 3 to implement algorithms; (3) demonstrate the process of computational problem solving; and (4) apply common approaches to computational problem solving.","Conversion","CITS1401"
"2","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Relational Database Management Systems ","This unit deals with data modelling through the theory and practice of database design, implementation and use. Several database models are addressed, with a strong focus on the relational model and its theoretical grounding in sets and relational algebra. The process of problem decomposition into entity-relations, the design of appropriate relational schemas, and their refinement through normalisation underlies the unit. Critical issues surrounding the design of query languages and their implementation are addressed, and information retrieval is practised using a specific query language. Students learn database connectivity by building systems in one of several programming languages that support a connectivity Application Programming Interface (API).","Mathematics Applications ATAR   or      MATH1720 Mathematics Fundamentals          or equivalent","Nil","CITS2232 Databases","Students are able to (1) understand existing database implementation and create refinements and improvements through analysis; (2) understand the 'business' requirements to design a database; (3) refine the database to improve and ensure correctness and reliability; (4) correctly program structured query language (SQL) queries and reports; and (5) build an application layer interface for easier user interaction.","Conversion","CITS1402"
"3","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Analysis of Experiments ","This unit introduces the principles of randomised experiments and practical quantitative tools for analysing the data from such experiments. The emphasis is on choosing and applying appropriate methods, rather than technical details and formal inference. Topics include controlled experiments versus observational studies; different experimental designs�confounding, misinterpretation; biases�blinding and randomisation; and analysis�linear regression, linear models and analysis of variance.","Mathematics Applications ATAR   or      MATH1720 Mathematics Fundamentals          or equivalent","Nil","STAT1400 Statistics for Science Or STAT1520 Economic and Business Statistics","Students are able to (1) demonstrate skills in the statistical analysis of data from designed experiments and observational studies; (2) apply the fundamentals of designing random experiments in different situations; (3) articulate the use of linear models; (4) develop and apply linear models for data from real-world experiments and studies; and (5) proficiently use a statistical computer package for linear modelling.","Conversion","STAT2401"
"4","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Analysis of Observations ","Many real-world problems involve analysing data sets that are not normally distributed. For example, binomial data in the form of presence/absence recordings, Poisson data measured as counts of rare events such as car accidents, Gamma data for measurements of rainfall and Weibull data for the expected lifetimes of machinery. This unit provides experience in analysing such observations. The majority of the unit concentrates on the presentation and analysis of such data sets. Generalised Linear Models (GLMs) are used to incorporate explanatory variables into the analyses. In developing these skills students are trained in an appropriate statistical software package. The unit also provides a rudimentary understanding of probability and statistics necessary for applying the likelihood theory for estimating these models.","Nil","Nil.","STAT1400 Statistics for Science Or STAT1520 Economic and Business Statistics","Students are able to (1) demonstrate their knowledge of fundamental concepts in probability and statistics; (2) apply statistical models to real-world problems for data that are not normally distributed; (3) use computer package(s) for fitting such models to data; and (4) communicate the results of these analyses effectively to non-statisticians.","Conversion","STAT2402"
"5","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Computational Data Analysis ","This unit answers an urgent call to harness the unprecedented amount of data now generated from every facet of our dailylife by introducing data science as the discipline dealing with collecting, representing, manipulating and visualising data incontemporary society. Students taking the unit learn to write computer programs to extract, transform and integrate datafrom multiple heterogeneous sources, including traditional relational databases and web-based resources. Different datarepresentation formats such as XML, JSON and HDF5, as well as storage options including SQL and NOSQL type ofdatabases, are introduced and compared. Another core objective is the development of programming skills to enableeffective and meaningful visualisation of the data. Students are given the opportunity to put the learned knowledgein data acquisition, data processing, data representation and exploratory visualisation into practice through projects that arehighly relevant to real-world data analytics. The unit provides the fundamental knowledge, introduces the essentialprocesses for exploratory data analysis and builds the specific critical programming skills required during the journey of growing a student into a capable data scientist.","Enrolment in       in the   (      62510 Master of Information Technology   or      the 62530 Master of Data Science   or      the 62560 Master of Renewable and Future Energy   or      the 63550 Master of Engineering   )         or         (      the 62550 Master of Professional Engineering   and      the SP-ECHEM Chemical Engineering specialisation   or      the SP-EMINI Mining Engineering specialisation   or      the SP-ESOFT Software Engineering specialisation   )         or         (      the 72530 Master of Environmental Science   and      the SP-SSDSC Sensing and Spatial Data Science specialisation   )         or         (      BH011 Bachelor of Engineering [Honours]   and      the MJD-ECHEM Chemical Engineering major   )","Nil","Nil","Students are able to (1) write programs to systematically collect, process and integrate data of different types and from different sources.; (2) select appropriate data visualisation options; (3) demonstrate programming abilities to build solutions for exploratory data analysis using visualisation and clustering techniques; (4) critically assess the outcomes of a data analysis; and (5) communicate effectively with stakeholders.","Core","CITS4009"
"6","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Natural Language Processing ","Natural Language has been and will remain as the most preferred way to store and transfer knowledge. More than 80% of electronic data in modern societies are generated and stored in textual format. How to process unstructured text to extract useful insights and support actionable decision making and discover the hidden treasure of collective intelligence is of enormous value. In this unit, we start with traditional text processing techniques using Regular Expressions and discuss the needs of text processing and normalisation. We then introduce fundamental pipelines of natural language processing (NLP), including part-of-speech tagging and various ways of sentence parsing, with the aim of introducing traditional text feature collection techniques for higher-level tasks such as sentiment or document classification. Building on the understanding of the pros and cons of feature-based NLP pipeline approaches, the unit moves onto the modern approach of deep learning for NLP, focusing on word vector representation, neural language models, and recurrent neural networks for NLP.  The unit situates the techniques around major NLP tasks, including information extraction, sentiment detection, dialogue systems and machine translation.","Enrolment in       in the   (      HON-CMSSE Computer Science and Software Engineering [Honours]   or      the 62510 Master of Information Technology   or      the 62530 Master of Data Science   )         or         (      the 62550 Master of Professional Engineering   and      the SP-ESOFT Software Engineering specialisation   )         or         (      the BH008 Bachelor of Advanced Computer Science [Honours]   and      the MJD-ARIDM Artificial Intelligence major   )         and      completion of 12 points of programming-based units","Nil","Nil","Students are able to (1) apply pre-processing techniques for textual data preparation; (2) build pipelines for core NLP tasks; (3) critically analyse different language models; (4) explain how vector representations of words can be obtained; (5) evaluate performance of NLP solutions, both traditional and neural; and (6) undertake core components of major NLP tasks.","Core","CITS4012"
"7","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Open Source Tools and Scripting ","This unit introduces students to the philosophy, design, tools and practices that enable and facilitate the success of open source software, which runs much of the world's computer infrastructure. Important topics covered include the use of the shell as a programming language, the use of the file system and pipes to support interprocess communication, fundamental software components, tools supporting the software development and maintenance process, and the importance of consistent interfaces to support software integration.","Enrolment in       in the         the 62510 Master of Information Technology   or      the 62530 Master of Data Science   or      the 72530 Master of Environmental Science   or      the 42630 Master of Business Analytics","Nil","Nil","Students are able to (1) describe the role of software tools and their integration through scripting languages; (2) recognise the importance of consistency in software tool interfaces; and (3) identify and deploy fundamental software components that facilitate software integration and re-use.","Core","CITS4407"
"8","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Data Warehousing ","Relational databases are the backbones of modern businesses in processing transactions and storing customer data. Most organisations usually deploy several relational databases for operational convenience. It is quite often necessary to integrate the information existing in different relational databases for planning and decision making. Data warehouses are built to facilitate planning and decision making in businesses integrating data from different relational databases. Online analytical processing (OLAP) is a technology that uses a data warehouse for answering aggregation queries often used in planning. While relational databases hold important transactional information of a business, the success of a business quite often depends on advanced planning and development of strategies based on customer behaviour. Data mining technologies are used for discovering such patterns and trends in data stored in relational databases. This unit introduces the key mechanisms in data warehousing and OLAP. It discusses logical and physical design of data warehouses including star schema, snowflake schema, data marts, partitioning and materialised views. Students study the use of data warehouses through a study of the OLAP technology including the multidimensional OLAP (MOLAP) and relational OLAP (ROLAP) architectures, OLAP operations and structured query language (SQL) support for OLAP.","Enrolment in          (     62510 Master of Information Technology    or     62530 Master of Data Science    )         and               CITS1402 Relational Database Management Systems","Nil","CITS3401 Data Warehousing","Students are able to (1) understand that discovering and extracting knowledge from a massive amount of data is a key problem in many scientific and business disciplines; (2) demonstrate a thorough understanding of key data warehousing and online analytical processing technologies; and (3) apply key data warehousing concepts in designing solutions for business data analytics.","Core","CITS5504"
"9","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Machine Learning ","There is an explosion in data generation and data collection due to improvements in sensing technologies and business processes. Extracting meaningful knowledge from large amounts of data has become a priority for businesses as well as scientific domains. Machine learning provides core underlying theory and techniques to data analytics, where algorithms iteratively learn from data to uncover hidden insights. In this unit, students will develop in-depth understanding of machine learning techniques that are applicable to both scientific and business data. The topics covered by the unit include supervised classification, unsupervised classification, regression, support vector machines, decision trees, random forests, dimensionality reduction, artificial neural networks, deep neural networks, autoencoders, and reinforcement learning.","Enrolment in       in the   (      HON-CMSSE Computer Science and Software Engineering [Honours]   or      the 62510 Master of Information Technology   or      the 62530 Master of Data Science   or      the 63550 Master of Engineering   or      the 42630 Master of Business Analytics   )         or         (      the 62550 Master of Professional Engineering   and      the SP-ESOFT Software Engineering specialisation   )         or         (      the 53560 Master of Physics   and      the SP-MEDPH Medical Physics specialisation   )         or         (      the BH008 Bachelor of Advanced Computer Science [Honours]   and      the MJD-CDSDM Computing and Data Science major   or      the MJD-ARIDM Artificial Intelligence major   )         and      completion of 12 points of programming-based units","Nil","Nil","Students are able to (1) explain the role of machine learning in knowledge extraction; (2) explain the difference between supervised and unsupervised learning algorithms; (3) demonstrate a systematic knowledge of algorithmic machine learning approaches; (4) produce practical implementations of machine learning solution for a real-world dataset; (5) analyse data datasets from the perspective of machine learning; and (6) evaluate what deep learning is, what makes it work or fail, and critique where it should be applied.","Core","CITS5508"
"10","Master of Data Science","62530","The Master of Data Science gives you the knowledge and skills to understand and apply appropriate analytical methodologies to transform the way an organisation achieves its objectives, to deal effectively with large data-management tasks, to master the statistical and machine-learning foundations on which data analytics is built, and to evaluate and communicate the effectiveness of new technologies.
 As the rise of data science is a global phenomenon, the course prepares you for an international career.�You will gain a detailed knowledge of contemporary data management and analysis technologies, including those for data collection and storage, visualisation, internet-based applications, and software project management.
 You will also acquire essential skills in high performance computing.
 As well as undertaking advanced units in computing and statistics, you can choose from a range of units from diverse fields and understand how to apply your data science knowledge and skills across interdisciplinary domains.
 The course is designed with the current and future needs of industry in mind and is ideal for graduates with a background in engineering and IT or students from other areas who wish to pursue a career in this exciting field.","Data Science Capstone Project ","This unit provides a capstone experience where students integrate and apply knowledge and skills acquired in earlier units to a substantial real-world information technology project. Students work in teams of typically four to six members, supervised by an academic and/or industry mentor. Each team is responsible for managing their project through group meetings and mentor/client meetings, submitting group deliverables against milestones, preparing the necessary design documentation, and choosing and following appropriate software processes. Individuals are expected to perform professionally in a team-based environment and reflect on their contributions to the team. A number of lectures are given to teach communication skills, principles of project management and the fundamental ethical and social principles involved in large-scale data science projects. The academic objectives of this unit are to lead students through a sizeable team-based effort to go through design, synthesis, development and deployment, the full data science practice life cycle, to better prepare them as professional data scientists.","Enrolment in       in the         62530 Master of Data Science   and      completion of 24 points of Level 4/Level 5 units","Nil","Nil","Students are able to (1) assess the scope, dimensions, scale of effort and indicative costs of a complex data science project; (2) analyse data by carrying out exploratory data analysis; (3) build predictive or other suitable computational models for data-driven business decision making; (4) evaluate model performance against a set of standard metrics recognised by the data science community; (5) interpret model results meaningfully for effective communication with all stakeholders via written, oral and visual means; and (6) perform professionally as an individual and as part of a multidisciplinary and multicultural team.","Core","CITS5553"
