"","Course","Course_code","Course_overview","Unit","Unit_code","Overview","RequesiteRules","LearningOutcome","Unit_type","Incompatible","Equivalent","Prerequisite"
"1","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","ACADEMIC INTEGRITY MODULE","LTU0AIM","The Academic Integrity Module will introduce you to academic integrity standards, so you’re informed about how to avoid plagiarism and academic misconduct.  You’ll complete four parts that cover academic misconduct and academic integrity decisions, such as cheating, plagiarism and collusion.  You’ll learn about the text-matching tool, Turnitin, that is used at La Trobe, how to get help and where to go to develop referencing skills.","None","1.Recognise and understand their academic integrity responsibilities 2.Locate information about La Trobe's approach to academic integrity and referencing styles 3.Understand the importance of how to properly acknowledge and reference 4.Apply knowledge to avoid academic misconduct 5.Evaluate situations to decide on appropriate academic integrity behaviour","Core",NA,NA,NA
"2","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATABASE FUNDAMENTALS","CSE4DBF","This subject starts with an overview of the architecture and management of database systems, and a discussion of different existing database models. The main focus includes relational database analysis, design, and implementation. The students learn: relational algebra as the formal foundation of relational databases; relational conceptual design using an entity-relationship diagram; relational logical database design; security and integrity; and SQL implementation of relational database queries. Students will also learn advanced normalization theory and the techniques to remove data anomalies and redundancies. In this subject, students are required to design a database application that meets the needs of a system requirement specification, and to implement the system using a commercial standard database system such as ORACLE or POSTGRESQL. In addition, a selection of advanced topics in databases will be introduced and discussed.","None","1.Design a relational database using an ER or EER diagram, and use a transformation process to change the ER or EER diagram to a relational database design 2.Evaluate database design in terms of data anomalies and redundancies by applying the appropriate normalization techniques 3.Implement database systems using SQL and advanced PL/SQL including stored procedures and triggers 4.Explain the underlying model of relational database operations using relational algebra 5.Evaluate the possible risks and ethical and social considerations relevant to designed systems","Core","DATABASE FUNDAMENTALS",NA,NA
"3","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","INTRODUCTION TO PROGRAMMING","CSE4IP","In this subject you will be introduced to the steps involved in designing and creating software solutions for a range of practical problems. To enable you to design and implement solutions, you will be introduced to methods for analysis of task definitions, algorithm design, and the writing of program source code. To develop your problem-solving skills, a variety of problems, with increasing complexity, will be presented for your practice. The Python programming language will be used as the program language for implementing software solutions. The strengths of Python, in particular its support of rapid prototyping of ideas, will be exploited to facilitate the development of your problem-solving skills and effective software development practice.","None","1.Analyse data processing problems to identify the data and high-level processing involved 2.Design appropriate computational solutions through application of basic programming constructs of sequence, selection, and iteration 3.Solve batch data processing problems using basic data structures such as lists and dictionaries 4.Solve computational problems by implementing understandable and maintainable code in the Python programming language, making effective use of functions, objects and comments 5.Design and communicate effective algorithmic solutions to complex domain-specific task definitions","Core","PROGRAMMING ENVIRONMENT",NA,NA
"4","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MATHEMATICS FOR DATA SCIENCE","MAT4MDS","Important mathematical ideas which underpin the theory and techniques of data science are introduced and consolidated in this subject. Matrices are used to store and work with quantitative information, and the methods of calculus are used to find extreme values and accumulation. The Gamma and Beta functions are introduced, as are eigenvalues, eigenvectors and the rank of a matrix. Emphasis is placed on the relevance of the mathematics to data science applications (such as least squares estimators and calculation of variance in data), and on the development of clear communication in explaining technical ideas. This is a foundational subject for the Master of Data Science.","None","1.Perform mathematical calculations relevant to data science fluently and accurately 2.Creatively apply mathematical techniques to unfamiliar problems 3.Apply mathematical skills to analysis of data science literature 4.Present mathematical thinking in written form in a meaningful and succinct way using both words and mathematical notation","Core","CALCULUS AND DIFFERENTIAL EQUATIONS, NUMBER SYSTEMS AND LINEAR ALGEBRA",NA,NA
"5","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","PROBABILITY AND STATISTICS FOR DATA SCIENCE","STM4PSD","This subject develops an understanding of probability and statistics applied to Data Science. Probability topics include joint and conditional probability, Bayes' Theorem and distributions such as the uniform, binomial, Poisson and normal distributions as well as properties of random variables and the Central Limit Theorem. Statistical inference and data analysis is also considered covering, among other topics, significance testing and confidence intervals with an introduction to methods such as ANOVA, linear and nonlinear regression and model verification. Applications to data science are considered and students will be exposed to the R statistical package as well as the mathematical type-setting package LaTeX.","None","1.Identify probabilistic traits of data science problems and choose methods which can be employed to determine valid and informative solutions 2.Defend or question the validity of probability models applied to data science problem 3.Demonstrate an ability to solve a variety of Data Science problems using applications of probability models 4.Define a statistical hypothesis with applications to Data Science that may be tested using data 5.Identify and apply statistical methods for hypothesis testing and estimation with applications in Data Science 6.Present clear, well-structured summaries of findings, both probabilistic and data-based, using appropriate mathematical and statistical vocabulary","Core","PROBABILITY MODELS, STATISTICAL SCIENCE",NA,NA
"6","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","DATA EXPLORATION AND ANALYSIS","CSE5DEV","In this subject you will be provided with specialist knowledge and tools required to formulate solutions to complex data problems encountered by data scientists. You will learn various data exploration techniques and analysis tools. Selected topics include data cleaning, data normalisation, data visualisation and data exploration. One or more applications associated with each problem will also be discussed. You will learn the fundamentals of exploratory data analysis techniques, statistical learning, and correlation analysis to solve these problems. You will also learn to implement data exploration methods and analysis tools using the R programming language.","Prerequisites: CSE4DBF or MAT4NLA or admission into one of the following courses SMIOTB, LMBISC, LMBAN (Master of Business Analytics), BM005 (Master of Business Information Systems), or LMFAN (Master of Financial analysis)Some instances require students to be admitted into specific course codes in order to be eligible to enrol and as follows: Students wishing to enrol in Online/Online must be admitted in SMITO, SGITO, SCITIFO, SMAIO, SGIAO, TC001O, SMDSO, SGDSO, SCDSFO, TM003O, TG002O, TC002O, ","1.Investigate and critically analyse common problems encountered by data scientists in practice 2.Formulate comprehensive solutions to data science problem 3.Effectively construct data analytics tools for application to complex data sets 4.Develop comprehensive data reduction and data cleaning techniques for application to dimensionality problems 5.Critically evaluate the performance of data exploration and data analysis techniques","Core",NA,NA,NA
"7","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","PROFESSIONAL PRACTICES AND ENTREPRENEURSHIP IN INFORMATION TECHNOLOGY ","CSE5003","The purpose of this subject is to outline the basic principles of Entrepreneurship. It will examine the steps required in developing an idea into a business and will explore the tools and necessary insights to make a successful venture. The subject will involve theory, case studies and guest speakers on start-up issues, pitfalls, and ingredients for success. Students will also develop professional skills related to ethical and moral decision making and evaluate the social implications of their work and the broader global context. The subject requires active participation in group discussions and activities.","None","1.Examine various types of resources to develop and finance an entrepreneurial venture 2.Write, articulate, and present a business plan that will be ready for venture capitalist review 3.Apply ethical theory to analyse ethical dilemmas in IT and business through debate. 4.Develop a personal ethical framework for IT practice incorporating awareness of cultural and global issues 5.Analyse the legal and IP issues that can be encountered during entrepreneurial process 6.Reflect and analyse personal viewpoints toward managing relationships and individual personal entrepreneurial capacity","Core","PROFESSIONAL ENVIRONMENT",NA,NA
"8","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MASTER STATISTICS THESIS A","STA5002","The Statistical Science thesis is a minor thesis written during the second master year. In this thesis, you will work on statistical research problems. You will carry out studies in statistics leading to new theoretical results or novel analysis of real-life data. The code for this thesis is split into two parts: STA5002 (which is taken in the first semester of this second year) and STA5THB (which is taken in the second semester of this second year). STA5002 and STA5THB are allocated 30 credit points each, resulting in a total of 60 credit points for the thesis.","None","1.Develop and communicate expertise in the theoretical and technical knowledge underlying the thesis topic 2.Critically analyse, reflect on and synthesise published scientific work, complex information, and concepts relevant to the topi 3.Apply established theories and research methods to a body of knowledge relevant to the topic of the thesis 4.Use advanced communication skills to present theoretical work and practical data analysis results via an oral presentation and academic writing 5.Demonstrate autonomy, expert judgement, and adaptability as a researcher","Core choice pathway",NA,NA,NA
"9","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","MASTERS STATISTICS THESIS B","STA5THB","The Master of Statistical Science thesis is a minor thesis written during the second year of the Master of Data Science. In this thesis, the student demonstrates at least one of the following: (a) an understanding of a statistical research problem, (b) the numerical solution of a statistical research problem, (c) carries out research in statistics leading to new results or (d) gains experience in analysing real-life data. The code for this thesis is split into two parts: STA5001 (which is taken in the first semester of this second year) and STA5THB (which is taken in the second semester of this second year). STA5001 is allocated 30 credit points and STA5THB is allocated 30 credit points, resulting in a total of 60 credit points for the thesis.","Prerequisites: Requires coordinators approval ","1.Demonstrate specialised theoretical and technical knowledge of the topic of the thesis 2.Use specialised cognitive and technical skills to critically analyse, reflect on and synthesise complex information, problems, concepts and theories relevant to the topic 3.Apply established theories and research methods to a body of knowledge relevant to the topic of the thesis 4.Use advanced communication skills to transmit knowledge and ideas of statistics to others 5.Demonstrate autonomy, expert judgement, adaptability and responsibility as a researcher","Core choice pathway",NA,NA,NA
"10","Master of Data Science - Melbourne (Bundoora)","SMDS","Data science professionals are in high demand in today’s data-driven world. Whether you’re already working in data science, or you’re ready to make a career change, our Master of Data Science prepares you for a successful career in this exciting field.Designed in collaboration with our industry partners, this degree gives you the knowledge, skills and hands-on experience to transition from university to the workplace. And with two early exit points along the way, you can be sure that every subject is contributing to your career.You’ll build fundamental skills in programming, databases, probability, statistics, data exploration and analysis. Got a particular interest in artificial intelligence, bioinformatics or sport analytics? This degree allows you to specialise in these areas and others, such as big data and cloud computing, business applications and data modelling and analytics.As you study, you’ll have opportunities to work with our industry partners on real-world projects and take on an industry work placement. If your sights are set on a research career, you can choose to undertake a thesis in computer science or statistics.Every step of the way, our supportive and highly qualified teaching staff will be there to offer ongoing support and advice.You'll learn:Data scienceGet practical experience with open-source software and platforms, including Python, R and Hadoop.Understand database fundamentals, programming languages such as Java and Python, and cloud-based services offered by Amazon, Google, IBM and Microsoft.Mathematics and statisticsLearn how to create complex models and use powerful tools for advanced analysis and problem-solving.Build your skills using real data sets from our industry partners and learn how to solve data challenges facing businesses and organisations.Project managementLearn how to manage large-scale IT projects and work in a team to develop a small-scale, industry-based system.Complementary skills in other disciplinesBoost your knowledge through electives in business, health sciences, artificial intelligence and cybersecurity.","THESIS A","CSE5001","Students undertake research, across both CSE5001 and CSE5TSB, that takes the equivalent of eight or nine months of continuous work under the supervision of a member of staff. In the first semester, a literature review is written up and submitted as a hurdle requirement for the subject. A list of prospective thesis topics is available from the Department of Computer Science and Information Technology.","Prerequisite: Requires subject coordinator approval.  ","1.Find past research and assess its quality and relevance 2.Develop a research proposal and a plan to investigate that proposal 3.Write a literature survey and research proposal in suitable academic style 4.Demonstrate ethical research conduct, with a specific focus on plagiarism 5.Critically review existing research and research proposals of other students 6.Critically reflect on one’s own writing and research proposal","Core choice pathway",NA,NA,NA
